那个	117323	
只是	58095	
那里	23200	
以下	15856	
受到	14262	
她们	13722	
同事	13434	
她的	13401	
一位	13104	
它们	13087	
事件	13022	
其它	12560	
及时	12420	
统一	12220	
现实	12054	
事实	11583	
是在	11326	
恢复	10978	
试试	10897	
股市	10668	
哪种	10392	
人物	9620	
成都	9608	
及其	9572	
连接	9418	
反应	9371	
同志	9232	
经理	9152	
背景	8805	
它的	8805	
正是	8546	
有时	8440	
又是	8429	
指导	8377	
伤害	8212	
不在	7716	
人士	7658	
涉及	7620	
出了	7498	
各个	7460	
做出	7259	
高速	7142	
一只	7071	
实践	7027	
一半	6975	
商务	6795	
一致	6786	
展示	6778	
消失	6744	
清除	6644	
世纪	6570	
哪些	6562	
一声	6392	
一生	6344	
回忆	6211	
直到	6127	
一是	6089	
部队	5969	
一件	5880	
食品	5793	
那时	5757	
二是	5650	
称为	5443	
好象	5436	
却是	5402	
想象	5402	
放假	5302	
有事	5282	
试验	5204	
简历	4963	
在此	4823	
魅力	4799	
登记	4793	
收集	4781	
把我	4704	
老是	4681	
搞笑	4646	
退出	4646	
现金	4623	
权力	4594	
一遍	4554	
接收	4526	
适用	4459	
练习	4459	
以外	4442	
给予	4382	
无限	4349	
我市	4333	
让她	4263	
几十	4258	
主体	4253	
不像	4174	
智能	4169	
到时	4163	
似的	4117	
好吗	4056	
的是	4041	
的心	4036	
是由	4006	
同一	3996	
钥匙	3986	
给她	3946	
啥子	3941	
无疑	3854	
只会	3806	
一篇	3806	
声明	3792	
纪念	3787	
成人	3778	
资讯	3754	
主人	3745	
活着	3703	
新人	3699	
形势	3694	
亿元	3625	
精力	3612	
近日	3607	
全是	3563	
一时	3545	
实用	3532	
证实	3527	
美人	3501	
福建	3492	
不幸	3462	
街道	3453	
之处	3453	
骑士	3445	
事物	3390	
登陆	3364	
它是	3364	
十几	3348	
假如	3327	
哪天	3245	
汇报	3233	
二十	3233	
我又	3225	
市区	3225	
精英	3209	
以便	3185	
优点	3161	
一支	3141	
一步	3087	
手上	3083	
是有	3056	
监测	3045	
一级	3030	
把他	2989	
出于	2959	
她说	2955	
编程	2937	
指挥	2937	
那儿	2872	
答复	2872	
一对	2861	
酒吧	2840	
斑竹	2833	
抑制	2794	
事务	2791	
是以	2791	
质疑	2770	
优先	2759	
骗子	2746	
时机	2742	
兼职	2739	
